departure_airport_name,departure_airport_code,destination_airport_name,destination_airport_code,price,departure_date,flight_duration,date_scraped
Brugge-Oostende,OST,Alicante,ALC,18:30,21:15,2u 45m,,194.99,7,1171,2023-03-16 08:42:34.273620
Antwerpen,ANR,Malaga,AGP,13:35,16:40,3u 5m,,244.99,3,1001,2023-03-16 08:42:56.831701
Brussel,BRU,Malaga,AGP,06:05,09:10,3u 5m,,179.99,10,1011,2023-03-16 08:42:56.832697
Luik,LGG,Malaga,AGP,06:00,10:45,4u 45m,,169.99,10,1161,2023-03-16 08:42:56.832697
Brussel,BRU,Malaga,AGP,06:05,09:10,3u 5m,,154.99,10,1011,2023-03-16 08:42:56.833695
Brussel,BRU,Tenerife,TFS,06:15,10:15,5u 0m,,93.99,10,1751,2023-03-16 08:43:19.210539
Brugge-Oostende,OST,Tenerife,TFS,07:20,11:25,5u 5m,,179.99,2,1801,2023-03-16 08:43:19.211540
Luik,LGG,Tenerife,TFS,08:00,13:25,6u 25m,,65.99,10,1603,2023-03-16 08:43:19.211540
Brussel,BRU,Tenerife,TFS,13:15,17:15,5u 0m,,89.99,10,1751,2023-03-16 08:43:19.211540
Brussel,BRU,Tenerife,TFS,07:00,11:00,5u 0m,,99.99,10,1763,2023-03-16 08:43:19.211540
Brugge-Oostende,OST,Tenerife,TFS,09:25,14:55,6u 30m,,69.99,10,1631,2023-03-16 08:43:19.212536
Brugge-Oostende,OST,Tenerife,TFS,08:30,12:35,5u 5m,,69.99,10,1801,2023-03-16 08:43:19.212536
Brussel,BRU,Tenerife,TFS,13:15,17:15,5u 0m,,69.99,10,1751,2023-03-16 08:43:19.212536
Brussel,BRU,Tenerife,TFS,06:00,10:00,5u 0m,,93.99,10,1751,2023-03-16 08:43:19.212536
Brussel,BRU,Tenerife,TFS,07:15,11:15,5u 0m,,99.99,10,1765,2023-03-16 08:43:19.213529
Luik,LGG,Tenerife,TFS,08:00,13:25,6u 25m,,69.99,10,1603,2023-03-16 08:43:19.213529
Brugge-Oostende,OST,Tenerife,TFS,09:00,14:30,6u 30m,,79.99,10,1631,2023-03-16 08:43:19.213529
Brussel,BRU,Tenerife,TFS,07:15,12:50,6u 35m,,144.99,10,1717,2023-03-16 08:43:19.213529
Brugge-Oostende,OST,Tenerife,TFS,13:00,18:30,6u 30m,,69.99,10,1631,2023-03-16 08:43:19.213529
Brussel,BRU,Tenerife,TFS,13:00,18:20,6u 20m,,129.99,10,1661,2023-03-16 08:43:19.214525
Brugge-Oostende,OST,Alicante,ALC,06:00,08:45,2u 45m,,199.99,2,1171
Brussel,BRU,Alicante,ALC,12:55,15:40,2u 45m,,214.99,2,1111
Brussel,BRU,Alicante,ALC,06:05,08:50,2u 45m,,129.99,10,1111
Antwerpen,ANR,Alicante,ALC,06:30,09:15,2u 45m,,149.99,9,1101
Brugge-Oostende,OST,Alicante,ALC,18:30,21:15,2u 45m,,194.99,7,1171
Antwerpen,ANR,Malaga,AGP,13:35,16:40,3u 5m,,244.99,3,1001
Brussel,BRU,Malaga,AGP,06:05,09:10,3u 5m,,179.99,10,1011
Luik,LGG,Malaga,AGP,06:00,10:45,4u 45m,,169.99,10,1161
Brussel,BRU,Malaga,AGP,06:05,09:10,3u 5m,,154.99,10,1011
Brugge-Oostende,OST,Alicante,ALC,06:00,08:45,2u 45m,,199.99,2,1171
Brussel,BRU,Alicante,ALC,12:55,15:40,2u 45m,,214.99,2,1111
Brussel,BRU,Alicante,ALC,06:05,08:50,2u 45m,,129.99,10,1111
Antwerpen,ANR,Alicante,ALC,06:30,09:15,2u 45m,,149.99,9,1101
Brugge-Oostende,OST,Alicante,ALC,18:30,21:15,2u 45m,,194.99,7,1171
Antwerpen,ANR,Malaga,AGP,13:35,16:40,3u 5m,,244.99,3,1001
Brussel,BRU,Malaga,AGP,06:05,09:10,3u 5m,,179.99,10,1011
Luik,LGG,Malaga,AGP,06:00,10:45,4u 45m,,169.99,10,1161
Brussel,BRU,Malaga,AGP,06:05,09:10,3u 5m,,154.99,10,1011
Brugge-Oostende,OST,Alicante,ALC,06:00,08:45,2u 45m,,199.99,2,1171
Brussel,BRU,Alicante,ALC,12:55,15:40,2u 45m,,214.99,2,1111
Brussel,BRU,Alicante,ALC,06:05,08:50,2u 45m,,129.99,10,1111
Antwerpen,ANR,Alicante,ALC,06:30,09:15,2u 45m,,149.99,9,1101
Brugge-Oostende,OST,Alicante,ALC,18:30,21:15,2u 45m,,194.99,7,1171
Antwerpen,ANR,Malaga,AGP,13:35,16:40,3u 5m,,244.99,3,1001
Brussel,BRU,Malaga,AGP,06:05,09:10,3u 5m,,179.99,10,1011
Luik,LGG,Malaga,AGP,06:00,10:45,4u 45m,,169.99,10,1161
Brussel,BRU,Malaga,AGP,06:05,09:10,3u 5m,,154.99,10,1011
Brussel,BRU,Tenerife,TFS,06:15,10:15,5u 0m,,93.99,10,1751
Brugge-Oostende,OST,Tenerife,TFS,07:20,11:25,5u 5m,,179.99,2,1801
Luik,LGG,Tenerife,TFS,08:00,13:25,6u 25m,,65.99,10,1603
Brussel,BRU,Tenerife,TFS,13:15,17:15,5u 0m,,89.99,10,1751
Brussel,BRU,Tenerife,TFS,07:00,11:00,5u 0m,,99.99,10,1763
Brugge-Oostende,OST,Tenerife,TFS,09:25,14:55,6u 30m,,69.99,10,1631
Brugge-Oostende,OST,Tenerife,TFS,08:30,12:35,5u 5m,,69.99,10,1801
Brussel,BRU,Tenerife,TFS,13:15,17:15,5u 0m,,69.99,10,1751
Brussel,BRU,Tenerife,TFS,06:00,10:00,5u 0m,,93.99,10,1751
Brussel,BRU,Tenerife,TFS,07:15,11:15,5u 0m,,99.99,10,1765
Luik,LGG,Tenerife,TFS,08:00,13:25,6u 25m,,69.99,10,1603
Brugge-Oostende,OST,Tenerife,TFS,09:00,14:30,6u 30m,,79.99,10,1631
Brussel,BRU,Tenerife,TFS,07:15,12:50,6u 35m,,144.99,10,1717
Brugge-Oostende,OST,Tenerife,TFS,13:00,18:30,6u 30m,,69.99,10,1631
Brussel,BRU,Tenerife,TFS,13:00,18:20,6u 20m,,129.99,10,1661
Brugge-Oostende,OST,Alicante,ALC,06:00,08:45,2u 45m,,199.99,2,1171
Brussel,BRU,Alicante,ALC,12:55,15:40,2u 45m,,214.99,2,1111
Brussel,BRU,Alicante,ALC,06:05,08:50,2u 45m,,129.99,10,1111
Antwerpen,ANR,Alicante,ALC,06:30,09:15,2u 45m,,149.99,9,1101
Brugge-Oostende,OST,Alicante,ALC,18:30,21:15,2u 45m,,194.99,7,1171
Antwerpen,ANR,Malaga,AGP,13:35,16:40,3u 5m,,244.99,3,1001
Brussel,BRU,Malaga,AGP,06:05,09:10,3u 5m,,179.99,10,1011
Luik,LGG,Malaga,AGP,06:00,10:45,4u 45m,,169.99,10,1161
Brussel,BRU,Malaga,AGP,06:05,09:10,3u 5m,,154.99,8,1011
Brugge-Oostende,OST,Alicante,ALC,06:00,08:45,2u 45m,,199.99,2,1171
Brussel,BRU,Alicante,ALC,12:55,15:40,2u 45m,,214.99,2,1111
Brussel,BRU,Alicante,ALC,06:05,08:50,2u 45m,,129.99,10,1111
Antwerpen,ANR,Alicante,ALC,06:30,09:15,2u 45m,,149.99,9,1101
Brugge-Oostende,OST,Alicante,ALC,18:30,21:15,2u 45m,,194.99,7,1171
Brugge-Oostende,OST,Alicante,ALC,2023-03-18 06:00,2023-03-18 08:45,2u 45m,,199.99,2,1171
Brussel,BRU,Alicante,ALC,2023-03-18 12:55,2023-03-18 15:40,2u 45m,,214.99,2,1111
Brussel,BRU,Alicante,ALC,2023-03-19 06:05,2023-03-19 08:50,2u 45m,,129.99,10,1111
Antwerpen,ANR,Alicante,ALC,2023-03-19 06:30,2023-03-19 09:15,2u 45m,,149.99,9,1101
Brugge-Oostende,OST,Alicante,ALC,2023-03-19 18:30,2023-03-19 21:15,2u 45m,,194.99,7,1171
Luik,LGG,Alicante,ALC,2023-03-31 06:00,2023-03-31 08:45,2u 45m,,199.99,2,1161
Brugge-Oostende,OST,Alicante,ALC,2023-03-31 07:00,2023-03-31 09:50,2u 50m,,279.99,2,1171
Brugge-Oostende,OST,Alicante,ALC,2023-04-01 06:00,2023-04-01 08:50,2u 50m,,319.99,1,1171
Brussel,BRU,Alicante,ALC,2023-04-01 17:00,2023-04-01 19:45,2u 45m,,239.99,8,1113
Brussel,BRU,Malaga,AGP,2023-03-30 15:55,2023-03-30 19:00,3u 5m,,99.99,5,1013
Luik,LGG,Malaga,AGP,2023-03-31 06:00,2023-03-31 10:50,4u 50m,,199.99,2,1161
Brugge-Oostende,OST,Malaga,AGP,2023-03-31 06:00,2023-03-31 09:10,3u 10m,,219.99,3,1071
Brussel,BRU,Malaga,AGP,2023-03-31 06:00,2023-03-31 09:05,3u 5m,,299.99,1,1011
Brussel,BRU,Malaga,AGP,2023-04-01 06:00,2023-04-01 09:05,3u 5m,,319.99,1,1011
Brugge-Oostende,OST,Malaga,AGP,2023-04-01 06:50,2023-04-01 10:00,3u 10m,,329.99,5,1071
Brussel,BRU,Malaga,AGP,2023-04-01 14:25,2023-04-01 17:30,3u 5m,,319.99,5,1013
Brussel,BRU,Tenerife,TFS,2023-03-30 06:05,2023-03-30 10:05,5u 0m,,149.99,5,1751
Brugge-Oostende,OST,Tenerife,TFS,2023-03-30 13:50,2023-03-30 17:50,5u 0m,,69.99,10,1801
Brussel,BRU,Tenerife,TFS,2023-03-31 06:05,2023-03-31 10:05,5u 0m,,169.99,5,1751
Brussel,BRU,Tenerife,TFS,2023-03-31 13:35,2023-03-31 17:35,5u 0m,,149.99,10,1753
Brugge-Oostende,OST,Tenerife,TFS,2023-03-31 13:40,2023-03-31 17:40,5u 0m,,119.99,2,1811
Brugge-Oostende,OST,Tenerife,TFS,2023-03-31 13:50,2023-03-31 17:50,5u 0m,,89.99,10,1801
Luik,LGG,Tenerife,TFS,2023-04-01 14:55,2023-04-01 18:55,5u 0m,,199.99,5,1791
Brussel,BRU,Tenerife,TFS,2023-04-01 16:20,2023-04-01 20:20,5u 0m,,299.99,9,1755
Luik,LGG,Alicante,ALC,2023-03-31 06:00,2023-03-31 08:45,2u 45m,,199.99,2,1161
Brugge-Oostende,OST,Alicante,ALC,2023-03-31 07:00,2023-03-31 09:50,2u 50m,,279.99,2,1171
Brugge-Oostende,OST,Alicante,ALC,2023-04-01 06:00,2023-04-01 08:50,2u 50m,,319.99,1,1171
Brussel,BRU,Alicante,ALC,2023-04-01 17:00,2023-04-01 19:45,2u 45m,,239.99,8,1113
Luik,LGG,Alicante,ALC,2023-03-31 06:00,2023-03-31 08:45,2u 45m,,199.99,2,1161
Brugge-Oostende,OST,Alicante,ALC,2023-03-31 07:00,2023-03-31 09:50,2u 50m,,279.99,2,1171
Brugge-Oostende,OST,Alicante,ALC,2023-04-01 06:00,2023-04-01 08:50,2u 50m,,319.99,1,1171
