flight_id;from_airport;to_airport;departure_date_time;arrival_date_time;marketing_airline_name;flight_number;price;link
BRUIBZ20230717HV9009;BRU;IBZ;2023-07-17T15:35:00;2023-07-17T18:00:00;HV;9009;172.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=17&om=7&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230719HV9009;BRU;IBZ;2023-07-19T06:30:00;2023-07-19T08:55:00;HV;9009;153.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=19&om=7&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230721HV9023;BRU;IBZ;2023-07-21T16:50:00;2023-07-21T19:15:00;HV;9023;172.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=21&om=7&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230723HV9009;BRU;IBZ;2023-07-23T15:30:00;2023-07-23T17:55:00;HV;9009;208.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=23&om=7&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230724HV9009;BRU;IBZ;2023-07-24T15:35:00;2023-07-24T18:00:00;HV;9009;399.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=24&om=7&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230726HV9009;BRU;IBZ;2023-07-26T06:30:00;2023-07-26T08:55:00;HV;9009;135.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=26&om=7&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230728HV9023;BRU;IBZ;2023-07-28T16:50:00;2023-07-28T19:15:00;HV;9023;64.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=28&om=7&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230730HV9009;BRU;IBZ;2023-07-30T15:30:00;2023-07-30T17:55:00;HV;9009;153.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=30&om=7&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230731HV9009;BRU;IBZ;2023-07-31T15:35:00;2023-07-31T18:00:00;HV;9009;374.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=31&om=7&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230802HV9009;BRU;IBZ;2023-08-02T06:30:00;2023-08-02T08:55:00;HV;9009;182.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=2&om=8&oy=2023&utm_source=API&utm_medium=Public
BRUIBZ20230804HV9023;BRU;IBZ;2023-08-04T16:50:00;2023-08-04T19:15:00;HV;9023;100.0;https://www.transavia.com/nl-NL/bookingtool/flights/deeplink?ds=BRU&as=IBZ&ap=1&cp=0&od=4&om=8&oy=2023&utm_source=API&utm_medium=Public
