originName,destinationName,dateOut,prijs,timeOut,timeArrival,flightDuration,plaatsenOver,flightKey,flightNumber
Brussels (Charleroi),Mallorca,2023-05-30T00:00:00.000,44.87,02:10,3,FR~7831~ ~~CRL~05/30/2023 06:35~PMI~05/30/2023 08:45~~,FR 7831,2023-05-30T06:35:00.000,2023-05-30T08:45:00.000
Brussels (Charleroi),Mallorca,2023-06-01T00:00:00.000,101.39,02:10,3,FR~7831~ ~~CRL~06/01/2023 16:50~PMI~06/01/2023 19:00~~,FR 7831,2023-06-01T16:50:00.000,2023-06-01T19:00:00.000
Brussels,Mallorca,2023-06-02T00:00:00.000,172.49,02:15,5,FR~2915~ ~~BRU~06/02/2023 11:00~PMI~06/02/2023 13:15~~,FR 2915,2023-06-02T11:00:00.000,2023-06-02T13:15:00.000
Brussels (Charleroi),Mallorca,2023-06-03T00:00:00.000,63.68,02:10,5,FR~7831~ ~~CRL~06/03/2023 17:20~PMI~06/03/2023 19:30~~,FR 7831,2023-06-03T17:20:00.000,2023-06-03T19:30:00.000
Brussels,Mallorca,2023-06-05T00:00:00.000,26.76,02:15,-1,FR~2915~ ~~BRU~06/05/2023 20:25~PMI~06/05/2023 22:40~~,FR 2915,2023-06-05T20:25:00.000,2023-06-05T22:40:00.000
Brussels (Charleroi),Mallorca,2023-06-05T00:00:00.000,63.68,02:10,2,FR~7831~ ~~CRL~06/05/2023 08:55~PMI~06/05/2023 11:05~~,FR 7831,2023-06-05T08:55:00.000,2023-06-05T11:05:00.000
Brussels (Charleroi),Mallorca,2023-06-08T00:00:00.000,65.19,02:10,-1,FR~7831~ ~~CRL~06/08/2023 16:50~PMI~06/08/2023 19:00~~,FR 7831,2023-06-08T16:50:00.000,2023-06-08T19:00:00.000
Brussels (Charleroi),Mallorca,2023-06-10T00:00:00.000,37.73,02:10,-1,FR~7831~ ~~CRL~06/10/2023 17:20~PMI~06/10/2023 19:30~~,FR 7831,2023-06-10T17:20:00.000,2023-06-10T19:30:00.000
Brussels,Mallorca,2023-06-12T00:00:00.000,41.19,02:15,4,FR~2915~ ~~BRU~06/12/2023 20:25~PMI~06/12/2023 22:40~~,FR 2915,2023-06-12T20:25:00.000,2023-06-12T22:40:00.000
Brussels (Charleroi),Mallorca,2023-06-12T00:00:00.000,75.7,02:10,4,FR~7831~ ~~CRL~06/12/2023 08:55~PMI~06/12/2023 11:05~~,FR 7831,2023-06-12T08:55:00.000,2023-06-12T11:05:00.000
Brussels (Charleroi),Mallorca,2023-06-13T00:00:00.000,24.99,02:10,-1,FR~7831~ ~~CRL~06/13/2023 06:35~PMI~06/13/2023 08:45~~,FR 7831,2023-06-13T06:35:00.000,2023-06-13T08:45:00.000
Brussels (Charleroi),Mallorca,2023-06-14T00:00:00.000,36.52,02:10,2,FR~7831~ ~~CRL~06/14/2023 06:55~PMI~06/14/2023 09:05~~,FR 7831,2023-06-14T06:55:00.000,2023-06-14T09:05:00.000
Brussels (Charleroi),Mallorca,2023-06-17T00:00:00.000,84.62,02:10,4,FR~7831~ ~~CRL~06/17/2023 17:20~PMI~06/17/2023 19:30~~,FR 7831,2023-06-17T17:20:00.000,2023-06-17T19:30:00.000
Brussels (Charleroi),Mallorca,2023-06-20T00:00:00.000,57.05,02:10,1,FR~7831~ ~~CRL~06/20/2023 06:35~PMI~06/20/2023 08:45~~,FR 7831,2023-06-20T06:35:00.000,2023-06-20T08:45:00.000
Brussels,Mallorca,2023-06-21T00:00:00.000,42.15,02:15,5,FR~2915~ ~~BRU~06/21/2023 17:25~PMI~06/21/2023 19:40~~,FR 2915,2023-06-21T17:25:00.000,2023-06-21T19:40:00.000
